Airport_code,Airport_Name,Country,Runway_Count,Timezone
GOA,Genoa Cristoforo Colombo Airport,IT,1.0,TBD
LIN,Milano Linate Airport,IT,2.0,TBD
BLQ,Bologna Guglielmo Marconi Airport,IT,1.0,TBD
TSF,Treviso-Sant'Angelo Airport,IT,1.0,TBD
VRN,Verona Villafranca Airport,IT,1.0,TBD
VCE,Venice Marco Polo Airport,IT,2.0,TBD
CIA,CiampinoâG. B. Pastine International Airport,IT,1.0,TBD
FCO,Leonardo da VinciâFiumicino Airport,IT,4.0,TBD
NAP,Naples International Airport,IT,1.0,TBD
PSA,Pisa International Airport,IT,2.0,TBD
LJU,Ljubljana JoÅ¾e PuÄnik Airport,SI,1.0,TBD
PRG,VÃ¡clav Havel Airport Prague,CZ,3.0,TBD
TLV,Ben Gurion International Airport,IL,3.0,TBD
VDA,Ovda International Airport,IL,2.0,TBD
MLA,Malta International Airport,MT,2.0,TBD
VIE,Vienna International Airport,AT,2.0,TBD
FAO,Faro Airport,PT,1.0,TBD
TER,Lajes Airport,PT,1.0,TBD
PDL,JoÃ£o Paulo II Airport,PT,1.0,TBD
OPO,Francisco de SÃ¡ Carneiro Airport,PT,1.0,TBD
LIS,Humberto Delgado Airport (Lisbon Portela Airport),PT,2.0,TBD
SJJ,Sarajevo International Airport,BA,1.0,TBD
OTP,Henri CoandÄ International Airport,RO,2.0,TBD
GVA,Geneva Cointrin International Airport,CH,2.0,TBD
ZRH,ZÃ¼rich Airport,CH,3.0,TBD
ESB,EsenboÄa International Airport,TR,2.0,TBD
ADA,Adana Airport,TR,1.0,TBD
AYT,Antalya International Airport,TR,3.0,TBD
GZT,Gaziantep International Airport,TR,2.0,TBD
ISL,AtatÃ¼rk International Airport,TR,3.0,TBD
ADB,Adnan Menderes International Airport,TR,2.0,TBD
DLM,Dalaman International Airport,TR,1.0,TBD
ERZ,Erzurum International Airport,TR,3.0,TBD
TZX,Trabzon International Airport,TR,1.0,TBD
ISE,SÃ¼leyman Demirel International Airport,TR,1.0,TBD
BJV,Milas Bodrum International Airport,TR,2.0,TBD
SAW,Sabiha GÃ¶kÃ§en International Airport,TR,2.0,TBD
IST,Istanbul Airport,TR,5.0,TBD
SKP,Skopje International Airport,MK,1.0,TBD
BEG,Belgrade Nikola Tesla Airport,RS,2.0,TBD
TGD,Podgorica Airport,ME,1.0,TBD
BTS,M. R. Å tefÃ¡nik Airport,SK,2.0,TBD
PUJ,Punta Cana International Airport,DO,2.0,TBD
SDQ,Las AmÃ©ricas International Airport,DO,1.0,TBD
GUA,La Aurora Airport,GT,1.0,TBD
KIN,Norman Manley International Airport,JM,1.0,TBD
ACA,General Juan N Alvarez International Airport,MX,2.0,TBD
GDL,Don Miguel Hidalgo Y Costilla International Airport,MX,3.0,TBD
HMO,General Ignacio P. Garcia International Airport,MX,2.0,TBD
MEX,Licenciado Benito Juarez International Airport,MX,2.0,TBD
MTY,General Mariano Escobedo International Airport,MX,2.0,TBD
PVR,Licenciado Gustavo DÃ­az Ordaz International Airport,MX,1.0,TBD
SJD,Los Cabos International Airport,MX,1.0,TBD
TIJ,General Abelardo L. RodrÃ­guez International Airport,MX,1.0,TBD
CUN,CancÃºn International Airport,MX,2.0,TBD
PTY,Tocumen International Airport,PA,2.0,TBD
LIR,Daniel Oduber Quiros International Airport,CR,1.0,TBD
SAL,MonseÃ±or Ãscar Arnulfo Romero International Airport,SV,2.0,TBD
HAV,JosÃ© MartÃ­ International Airport,CU,1.0,TBD
VRA,Juan Gualberto Gomez International Airport,CU,1.0,TBD
GCM,Owen Roberts International Airport,KY,1.0,TBD
NAS,Lynden Pindling International Airport,BS,2.0,TBD
BZE,Philip S. W. Goldson International Airport,BZ,1.0,TBD
RAR,Rarotonga International Airport,CK,1.0,TBD
PPT,Faa'a International Airport,PF,1.0,TBD
AKL,Auckland International Airport,NZ,2.0,TBD
CHC,Christchurch International Airport,NZ,3.0,TBD
WLG,Wellington International Airport,NZ,1.0,TBD
BAH,Bahrain International Airport,BH,2.0,TBD
DMM,King Fahd International Airport,SA,2.0,TBD
DHA,King Abdulaziz Air Base,SA,2.0,TBD
JED,King Abdulaziz International Airport,SA,3.0,TBD
MED,Prince Mohammad Bin Abdulaziz Airport,SA,2.0,TBD
RUH,King Khaled International Airport,SA,2.0,TBD
