type,name,iso_country,iata_code
large_airport,South Bend Regional Airport,US,SBN
large_airport,Louisville Muhammad Ali International Airport,US,SDF
large_airport,Seattle Tacoma International Airport,US,SEA
large_airport,Orlando Sanford International Airport,US,SFB
large_airport,San Francisco International Airport,US,SFO
large_airport,Springfield Branson National Airport,US,SGF
large_airport,Norman Y. Mineta San Jose International Airport,US,SJC
large_airport,Fairchild Air Force Base,US,SKA
large_airport,Salt Lake City International Airport,US,SLC
large_airport,Sacramento International Airport,US,SMF
large_airport,John Wayne Airport-Orange County Airport,US,SNA
large_airport,Abraham Lincoln Capital Airport,US,SPI
large_airport,Sheppard Air Force Base-Wichita Falls Municipal Airport,US,SPS
large_airport,Sarasota Bradenton International Airport,US,SRQ
large_airport,Shaw Air Force Base,US,SSC
large_airport,St Louis Lambert International Airport,US,STL
large_airport,Spirit of St Louis Airport,US,SUS
large_airport,Travis Air Force Base,US,SUU
large_airport,Sioux Gateway Airport/Brigadier General Bud Day Field,US,SUX
large_airport,Syracuse Hancock International Airport,US,SYR
large_airport,Whiteman Air Force Base,US,SZL
large_airport,McChord Air Force Base,US,TCM
large_airport,Tinker Air Force Base,US,TIK
large_airport,Tallahassee Regional Airport,US,TLH
large_airport,Toledo Express Airport,US,TOL
large_airport,Tampa International Airport,US,TPA
large_airport,Tri-Cities Regional TN/VA Airport,US,TRI
large_airport,Tulsa International Airport,US,TUL
large_airport,Tucson International Airport / Morris Air National Guard Base,US,TUS
large_airport,McGhee Tyson Airport,US,TYS
large_airport,Vandenberg Air Force Base,US,VBG
large_airport,Destin-Ft Walton Beach Airport,US,VPS
large_airport,Robins Air Force Base,US,WRB
large_airport,Tirana International Airport Mother Teresa,AL,TIA
large_airport,Burgas Airport,BG,BOJ
large_airport,Sofia Airport,BG,SOF
large_airport,Varna Airport,BG,VAR
large_airport,Larnaca International Airport,CY,LCA
large_airport,Paphos International Airport,CY,PFO
large_airport,RAF Akrotiri,GB,AKT
large_airport,Zagreb Airport,HR,ZAG
large_airport,Alicante International Airport,ES,ALC
large_airport,Barcelona International Airport,ES,BCN
large_airport,Adolfo SuÃ¡rez MadridâBarajas Airport,ES,MAD
large_airport,MÃ¡laga Airport,ES,AGP
large_airport,Palma De Mallorca Airport,ES,PMI
large_airport,Santiago de Compostela Airport,ES,SCQ
large_airport,Bordeaux-MÃ©rignac Airport,FR,BOD
large_airport,Toulouse-Blagnac Airport,FR,TLS
large_airport,Lyon Saint-ExupÃ©ry Airport,FR,LYS
large_airport,Marseille Provence Airport,FR,MRS
large_airport,Nice-CÃ´te d'Azur Airport,FR,NCE
